Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"40"	"ELF5"	"111.6"	"Literature ChIP-seq,62;ARCHS4 Coexpression,238;Enrichr Queries,68;ReMap ChIP-seq,39;GTEx Coexpression,151"	"SPINK4,MMP7,LPCAT1,MMP9,SERPINB5,C3,CXCL10,SELL,HSD17B2,FDCSP,LCN2,S100P,HMGCS2,S100A9,S100A8"
"gene_set_query"	"41"	"BORCS8MEF2B"	"113.0"	"ARCHS4 Coexpression,113"	"SELL,MNDA,S100A9"
"gene_set_query"	"42"	"HOXB5"	"113.3"	"ARCHS4 Coexpression,91;Enrichr Queries,214;GTEx Coexpression,35"	"GREM1,CXCL10,TMEM158,ENTPD5,ANPEP,CHP2,LCN2,UGT2A3,GUCA2B,CCL2,TIMP1,PITX2"
"gene_set_query"	"43"	"ONECUT1"	"115.0"	"ARCHS4 Coexpression,37;Enrichr Queries,383;ReMap ChIP-seq,2;GTEx Coexpression,38"	"CXCL6,NNMT,MMP7,REG4,REG1A,C4BPA,GCG,CXCL1,TM4SF5,CXCL3,CXCL2,C3,ADH4,CXCL10,HSD17B2,SAA1,HMGCS2,PCK1,PITX2"
"gene_set_query"	"44"	"HOXB7"	"115.2"	"Literature ChIP-seq,31;ARCHS4 Coexpression,87;Enrichr Queries,142;ReMap ChIP-seq,292;GTEx Coexpression,24"	"NNMT,ENTPD5,AQP8,GUCA2B,ADIRF,C4BPA,MMP9,MMP10,ACSF2,CXCL10,MEP1B,SELL,ANPEP,CTSK,LCN2,SAA1,UGT2A3,CCL2,CHI3L1,TIMP1,PTGDS,PITX2,MS4A1"
"gene_set_query"	"45"	"ETV3L"	"116.3"	"ARCHS4 Coexpression,18;Enrichr Queries,7;GTEx Coexpression,324"	"CXCL8,MMP7,BCL2A1,CCL20,CXCL1,CXCL3,CXCL2,MMP9,MMP10,C3,CXCL10,IL1B,CHI3L1,CCL2,MS4A1,S100A9,IDO1"
"gene_set_query"	"46"	"EGR1"	"117.0"	"Literature ChIP-seq,5;ARCHS4 Coexpression,324;ENCODE ChIP-seq,63;Enrichr Queries,52;ReMap ChIP-seq,96;GTEx Coexpression,162"	"CXCL9,CXCL8,NNMT,CXCL1,GCG,C4BPA,MMP9,CXCL2,C3,CXCL10,IL1B,HSD17B2,GSTA1,LCN2,SAA1,CCL2,UGT2A3,TIMP1,PTGDS,S100A8,ABCG2"
"gene_set_query"	"47"	"SNAI1"	"117.3"	"ARCHS4 Coexpression,72;Enrichr Queries,51;GTEx Coexpression,229"	"C3,CXCL10,CXCL8,NNMT,BCL2A1,IL1B,CCL2,CXCL1,TIMP1,CXCL3,CXCL2,MMP9"
"gene_set_query"	"48"	"FOXD1"	"118.0"	"ARCHS4 Coexpression,149;GTEx Coexpression,87"	"GREM1,TMEM158,CXCL5"
"gene_set_query"	"49"	"IRF9"	"119.0"	"ARCHS4 Coexpression,106;Enrichr Queries,89;ReMap ChIP-seq,30;GTEx Coexpression,251"	"CXCL8,CXCL3,CYP3A4,PDZK1IP1,CXCL2,C3,CXCL10,FCGR3A,SELL,IL1B,LCN2,CCL2,S100P,MNDA,TIMP1,S100A8"
"gene_set_query"	"50"	"CEBPD"	"125.4"	"Literature ChIP-seq,58;ARCHS4 Coexpression,51;ENCODE ChIP-seq,29;ReMap ChIP-seq,123;GTEx Coexpression,366"	"C3,SPINK4,FCGR3A,NNMT,AQP8,CTSK,S100P,MNDA,PCK1,CXCL2,S100A9,CXCL5"
"gene_set_query"	"51"	"TWIST1"	"126.5"	"ARCHS4 Coexpression,85;Enrichr Queries,54;ReMap ChIP-seq,290;GTEx Coexpression,77"	"GREM1,C3,CXCL10,NNMT,CTSK,ANPEP,CCL2,TIMP1,PITX2,MMP9"
"gene_set_query"	"52"	"ATOH1"	"126.7"	"ARCHS4 Coexpression,12;Enrichr Queries,364;GTEx Coexpression,4"	"SPINK4,DEFA6,ENTPD5,REG4,DEFA5,PLA2G2A,GUCA2B,SLC35G1,OLFM4,GBA3,CXCL10,TMEM158,RBP2,MEP1B,ANPEP,HSD17B2,CHP2,UGT2A3,TIMP1,PITX2"
"gene_set_query"	"53"	"ASCL2"	"128.0"	"ARCHS4 Coexpression,171;Enrichr Queries,110;GTEx Coexpression,103"	"C3,CXCL10,FCGR3A,CCL20,ANPEP,CHP2,LCN2,MNDA,MMP9,S100A9,SERPINB5,S100A8"
"gene_set_query"	"54"	"HIF1A"	"130.0"	"Literature ChIP-seq,78;ARCHS4 Coexpression,153;Enrichr Queries,144;ReMap ChIP-seq,78;GTEx Coexpression,197"	"CXCL8,NNMT,CXCL2,GREM1,CXCL10,IL1B,HSD17B2,CCL2,S100P,TIMP1,PTGDS,S100A9"
"gene_set_query"	"55"	"NFIL3"	"130.7"	"ARCHS4 Coexpression,36;Enrichr Queries,42;GTEx Coexpression,314"	"NNMT,CXCL8,CXCL1,CXCL2,C3,CXCL10,FCGR3A,IL1B,LCN2,CCL2,MNDA,TIMP1,S100A9,S100A8"
"gene_set_query"	"56"	"FOSL1"	"132.4"	"ARCHS4 Coexpression,303;ENCODE ChIP-seq,40;Enrichr Queries,38;ReMap ChIP-seq,176;GTEx Coexpression,105"	"CXCL8,MMP1,CCL20,CXCL1,CXCL3,CXCL2,CXCL5,CXCL10,TMEM158,IL1B,CCL2,TIMP1"
"gene_set_query"	"57"	"ZNF267"	"139.3"	"ARCHS4 Coexpression,64;Enrichr Queries,70;GTEx Coexpression,284"	"C3,CXCL10,CXCL8,BCL2A1,CCL20,IL1B,CCL2,CXCL1,CXCL3,CXCL2"
"gene_set_query"	"58"	"BCL6"	"139.8"	"Literature ChIP-seq,122;ARCHS4 Coexpression,50;Enrichr Queries,139;ReMap ChIP-seq,264;GTEx Coexpression,124"	"CXCL2,C3,GREM1,CXCL10,FCGR3A,SELL,RBP2,IL1B,CCL2,MNDA,TIMP1,S100A9,S100A8,ABCG2"
"gene_set_query"	"59"	"PRRX1"	"144.3"	"ARCHS4 Coexpression,133;Enrichr Queries,126;GTEx Coexpression,174"	"GREM1,C3,CXCL10,NNMT,CTSK,CCL2,TIMP1"
"gene_set_query"	"60"	"ASCL3"	"144.7"	"ARCHS4 Coexpression,360;Enrichr Queries,58;GTEx Coexpression,16"	"MMP7,CCL20,MMP3,CXCL2,C3,CXCL10,DMBT1,IL1B,GSTA1,FDCSP,LCN2,CCL2,S100A9,S100A8,IDO1"
"gene_set_query"	"61"	"MXD1"	"145.0"	"ARCHS4 Coexpression,43;Enrichr Queries,15;GTEx Coexpression,377"	"CXCL8,BCL2A1,CXCL1,CXCL2,MMP9,C3,CXCL10,FCGR3A,SELL,IL1B,LCN2,CCL2,MNDA,TIMP1,S100A9,S100A8"
"gene_set_query"	"62"	"PAX8"	"146.5"	"ARCHS4 Coexpression,88;Enrichr Queries,153;ReMap ChIP-seq,209;GTEx Coexpression,136"	"C3,CXCL10,NNMT,ANPEP,IL1B,CCL2,PITX2,PDZK1IP1,MMP9,DUOX2,ACSF2"
"gene_set_query"	"63"	"BATF"	"147.4"	"ARCHS4 Coexpression,184;ENCODE ChIP-seq,41;Enrichr Queries,17;ReMap ChIP-seq,100;GTEx Coexpression,395"	"CXCL9,BCL2A1,CXCL1,CXCL2,MMP9,C3,CXCL10,CXCL11,SELL,CASP5,IL1B,LCN2,CCL2,TIMP1,S100A9,MS4A1,S100A8"
"gene_set_query"	"64"	"KLF4"	"150.2"	"Literature ChIP-seq,83;ARCHS4 Coexpression,389;Enrichr Queries,76;ReMap ChIP-seq,86;GTEx Coexpression,117"	"CXCL8,ADIRF,CXCL1,OLFM4,CXCL2,SERPINB5,C3,CXCL10,IL1B,CHP2,CCL2,S100P,TIMP1,PTGDS,S100A8,ABCG2"
"gene_set_query"	"65"	"STAT1"	"150.7"	"Literature ChIP-seq,80;ARCHS4 Coexpression,79;ENCODE ChIP-seq,3;Enrichr Queries,6;ReMap ChIP-seq,3;GTEx Coexpression,733"	"CXCL9,CXCL8,CCL11,NNMT,BCL2A1,LPCAT1,CXCL1,C4BPA,CXCL2,C3,ANPEP,CCL2,TIMP1,PLA2G2A,TM4SF5,MMP9,CXCL10,CXCL11,SELL,IL1B,LCN2,S100A9,S100A8,IDO1"
"gene_set_query"	"66"	"AR"	"152.6"	"Literature ChIP-seq,19;ARCHS4 Coexpression,136;Enrichr Queries,378;ReMap ChIP-seq,51;GTEx Coexpression,179"	"PRAC1,CXCL8,NNMT,CCL20,ENTPD5,CXCL1,C3,ADH4,CXCL10,ANPEP,CCL2,S100P,HMGCS2,PTGDS"
"gene_set_query"	"67"	"MYF5"	"153.3"	"ARCHS4 Coexpression,112;Enrichr Queries,94;GTEx Coexpression,254"	"CXCL10,NNMT,MMP3,CCL2,CXCL1,PITX2,CXCL3,MMP9,S100A9,S100A8"
"gene_set_query"	"68"	"ZNF658"	"156.0"	"ARCHS4 Coexpression,210;Enrichr Queries,102"	"C3,CXCL10,CXCL8,FDCSP,CCL2,CXCL1,S100A9,S100A8,ABCG2"
"gene_set_query"	"69"	"FOXC2"	"158.3"	"ARCHS4 Coexpression,134;Enrichr Queries,173;GTEx Coexpression,168"	"GREM1,CXCL10,NNMT,ANPEP,ADIRF,CCL2,TIMP1,PITX2"
"gene_set_query"	"70"	"ETV7"	"160.0"	"ARCHS4 Coexpression,23;Enrichr Queries,11;GTEx Coexpression,446"	"CXCL9,CXCL8,BCL2A1,CCL20,CXCL1,CXCL2,MMP9,SERPINB5,CXCL10,CXCL11,FCGR3A,CASP5,SELL,IL1B,CCL2,S100P,MNDA,IDO1"
"gene_set_query"	"71"	"OSR2"	"162.0"	"ARCHS4 Coexpression,163;Enrichr Queries,156;GTEx Coexpression,167"	"GREM1,C3,CXCL10,CTSK,CCL2,PITX2"
"gene_set_query"	"72"	"MAFB"	"162.3"	"ARCHS4 Coexpression,52;Enrichr Queries,39;ReMap ChIP-seq,229;GTEx Coexpression,329"	"GCG,CXCL2,MMP9,SERPINB5,C3,CXCL10,FCGR3A,CTSK,IL1B,LCN2,CCL2,TIMP1,S100A9,S100A8"
"gene_set_query"	"73"	"ATF5"	"162.7"	"ARCHS4 Coexpression,127;Enrichr Queries,304;GTEx Coexpression,57"	"C3,ADH4,CXCL10,CCL2,C4BPA,TM4SF5,TIMP1,MMP9"
"gene_set_query"	"74"	"SHOX2"	"164.7"	"ARCHS4 Coexpression,162;Enrichr Queries,248;GTEx Coexpression,84"	"GREM1,CXCL10,CTSK,ADIRF,CCL2,CHI3L1,PITX2"
"gene_set_query"	"75"	"HOXB13"	"165.0"	"ARCHS4 Coexpression,358;Enrichr Queries,65;ReMap ChIP-seq,66;GTEx Coexpression,171"	"PRAC1,NOS2,GCG,MMP9,GREM1,C3,CXCL10,CXCL11,ANPEP,LCN2,CCL2,HMGCS2,PITX2"
"gene_set_query"	"76"	"IKZF1"	"165.7"	"Literature ChIP-seq,152;ARCHS4 Coexpression,148;ENCODE ChIP-seq,68;Enrichr Queries,84;ReMap ChIP-seq,171;GTEx Coexpression,371"	"CXCL8,BCL2A1,CXCL2,MMP9,C3,CXCL10,FCGR3A,SELL,IL1B,CCL2,MNDA,S100A9,S100A8,IDO1"
"gene_set_query"	"77"	"ZNF750"	"166.3"	"ARCHS4 Coexpression,187;Enrichr Queries,149;ReMap ChIP-seq,26;GTEx Coexpression,303"	"C3,CXCL10,SLC16A1,LCN2,S100P,PI3,PDZK1IP1,MMP9,S100A9,SERPINB5,S100A8,DUOX2"
"gene_set_query"	"78"	"FOXA2"	"166.3"	"Literature ChIP-seq,17;ARCHS4 Coexpression,180;ENCODE ChIP-seq,1;Enrichr Queries,525;ReMap ChIP-seq,167;GTEx Coexpression,108"	"CCL20,PLA2G2A,TM4SF5,GCG,C4BPA,CXCL2,MMP9,ACSF2,C3,CXCL10,CASP5,ANPEP,HSD17B2,GSTA1,UGT2A3,S100P,HMGCS2,PITX2,PCK1,ABCG2"
"gene_set_query"	"79"	"FOXS1"	"167.0"	"ARCHS4 Coexpression,253;Enrichr Queries,90;GTEx Coexpression,158"	"GREM1,C3,CXCL10,NNMT,CTSK,ADIRF,CCL2,TIMP1,MMP9"
"gene_set_query"	"80"	"RORC"	"167.3"	"ARCHS4 Coexpression,41;Enrichr Queries,25;GTEx Coexpression,436"	"NNMT,ENTPD5,C4BPA,CXCL2,MMP9,C3,CXCL10,ADH4,ANPEP,GSTA1,LCN2,CCL2,HMGCS2,PITX2,PTGDS,PCK1,S100A9,S100A8"
"gene_set_query"	"81"	"RAG1"	"168.0"	"ARCHS4 Coexpression,353;Enrichr Queries,81;GTEx Coexpression,70"	"CXCL6,CXCL13,MMP9,ACSF2,C3,CXCL10,SELL,IL1B,CCL2,CCL19,S100A9,S100A8,ABCG2"
"gene_set_query"	"82"	"RFX6"	"170.3"	"ARCHS4 Coexpression,431;Enrichr Queries,37;GTEx Coexpression,43"	"AQP8,REG1A,GCG,CXCL13,OLFM4,MMP9,MMP10,CXCL10,CXCL11,HSD17B2,HMGCS2,PITX2,PCK1"
"gene_set_query"	"83"	"TFCP2L1"	"170.7"	"ARCHS4 Coexpression,191;Enrichr Queries,290;GTEx Coexpression,31"	"C3,CXCL10,MMP7,ANPEP,FDCSP,LCN2,S100P,DUOX2,ACSF2,SERPINB5"
"gene_set_query"	"84"	"ETS2"	"172.5"	"Literature ChIP-seq,148;ARCHS4 Coexpression,27;Enrichr Queries,99;GTEx Coexpression,416"	"SPINK4,CXCL8,PLA2G2A,CXCL1,CXCL2,SERPINB5,C3,CXCL10,IL1B,ANPEP,CCL2,TIMP1,PCK1,S100A8"
"gene_set_query"	"85"	"SP140"	"174.7"	"ARCHS4 Coexpression,96;Enrichr Queries,63;GTEx Coexpression,365"	"C3,CXCL10,CXCL9,FCGR3A,CXCL11,SELL,IL1B,CCL2,MNDA,MS4A1,MMP9"
"gene_set_query"	"86"	"IRF7"	"175.7"	"ARCHS4 Coexpression,69;Enrichr Queries,16;GTEx Coexpression,442"	"CXCL9,BCL2A1,CXCL1,CXCL2,MMP9,C3,CXCL10,FCGR3A,SELL,IL1B,LCN2,CCL2,MNDA,TIMP1,S100A9,S100A8"
