Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
NR1I2	nuclear receptor subfamily 1, group I, member 2	2	0.00553	0.00764	CCL2,CYP3A4
HDAC2	histone deacetylase 2	2	0.00596	0.00804	CXCL8,CCL2
RUNX3	runt-related transcription factor 3	2	0.00732	0.00965	TIMP1,MMP9
HSF1	heat shock transcription factor 1	2	0.00781	0.0101	IL1B,GUCA2B
JUND	jun D proto-oncogene	2	0.00934	0.0118	TIMP1,NOS2
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.00988	0.0122	TIMP1,MMP1
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2	0.0104	0.0126	CCL11,CXCL8
GATA3	GATA binding protein 3	2	0.0116	0.0137	MMP1,CXCL1
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	2	0.014	0.0163	CYP3A4,CXCL8
HNF4A	hepatocyte nuclear factor 4, alpha	2	0.016	0.0182	MMP7,CYP3A4
SIRT1	sirtuin 1	2	0.0181	0.0202	IL1B,MMP9
IRF1	interferon regulatory factor 1	2	0.0203	0.0222	CXCL10,MMP9
EP300	E1A binding protein p300	2	0.0241	0.0259	MMP9,CXCL8
USF1	upstream transcription factor 1	2	0.0318	0.0335	SLC16A1,PTGDS
YY1	YY1 transcription factor	2	0.0583	0.0604	IL1B,NOS2
SP3	Sp3 transcription factor	2	0.0849	0.0864	HSD17B2,TIMP1
E2F1	E2F transcription factor 1	2	0.113	0.113	IL1B,SERPINB5
